name,N,CSF1PO allele count,D13S317 allele count,D16S539 allele count,D18S51 allele count,D19S433 allele count,D21S11 allele count,D2S1338 allele count,D3S1358 allele count,D5S818 allele count,D7S820 allele count,D8S1179 allele count,FGA allele count,TH01 allele count,TPOX allele count,vWA allele count,CSF1PO sum allele freq,D13S317 sum allele freq,D16S539 sum allele freq,D18S51 sum allele freq,D19S433 sum allele freq,D21S11 sum allele freq,D2S1338 sum allele freq,D3S1358 sum allele freq,D5S818 sum allele freq,D7S820 sum allele freq,D8S1179 sum allele freq,FGA sum allele freq,TH01 sum allele freq,TPOX sum allele freq,vWA sum allele freq
C52C+C75C,2p,3,2,4,4,3,3,4,4,2,3,3,2,3,2,4,0.6745,0.3726,0.8185,0.5665,0.6869,0.5401,0.482,0.8282,0.7438,0.6288,0.5013,0.2867,0.5485,0.777,0.5042
C52C+C90C,2p,2,2,4,3,2,4,3,2,2,3,3,2,3,2,3,0.669,0.5942,0.4155,0.4044,0.4321,0.5498,0.4086,0.5111,0.7438,0.6288,0.4113,0.2867,0.7743,0.777,0.3975
C54C+C70C,2p,3,3,4,4,2,4,4,2,2,4,3,3,3,2,3,0.8892,0.7147,0.7922,0.5291,0.6163,0.7423,0.4377,0.5111,0.7438,0.7728,0.5983,0.3256,0.5485,0.777,0.5069
C55C+C79C,2p,2,2,4,3,2,2,4,3,4,2,3,2,3,2,2,0.5291,0.385,0.7922,0.3616,0.4183,0.3615,0.4114,0.5997,0.9281,0.4612,0.5097,0.3837,0.7743,0.5748,0.403
C55C+C81C,2p,2,4,4,4,3,3,4,3,3,3,3,2,2,3,3,0.5291,0.831,0.6412,0.5693,0.6218,0.3878,0.4114,0.7216,0.5541,0.4889,0.572,0.3393,0.5388,0.7022,0.5775
C55C+C90C,2p,2,3,3,4,1,3,3,3,3,3,2,3,1,2,1,0.5291,0.7105,0.1814,0.5651,0.3615,0.4515,0.2133,0.7216,0.8865,0.6288,0.4058,0.4917,0.3449,0.5748,0.2008
C55C+C96C,2p,3,3,4,3,2,4,3,3,3,4,3,1,2,4,2,0.6108,0.7105,0.7922,0.4073,0.518,0.6731,0.2964,0.7216,0.8865,0.7645,0.5734,0.205,0.5804,0.9543,0.4847
C56C+C57C,2p,3,4,3,3,3,3,2,3,2,3,2,3,3,3,3,0.8892,0.7881,0.7922,0.313,0.6731,0.5567,0.2715,0.5997,0.5305,0.6052,0.4972,0.4917,0.7743,0.9044,0.41
C58C+C62C,2p,3,2,3,3,3,3,2,4,2,3,4,3,3,4,2,0.8892,0.5942,0.5346,0.428,0.5748,0.583,0.2618,0.7687,0.7438,0.6205,0.5402,0.4626,0.6995,0.946,0.2077
C58C+C81C,2p,3,3,3,4,4,4,4,3,4,3,3,3,3,4,4,0.8892,0.7147,0.5346,0.579,0.4736,0.4861,0.5624,0.6621,0.9419,0.4432,0.6634,0.518,0.6579,0.946,0.5844
C62C+C89C,2p,3,3,2,3,4,3,3,4,1,3,3,3,4,4,2,0.8892,0.7105,0.6288,0.3712,0.5955,0.644,0.4474,0.5124,0.356,0.5083,0.536,0.3809,0.8699,0.9543,0.403
C63C+C89C,2p,3,3,3,4,4,4,2,4,1,4,3,3,3,3,4,0.8892,0.7105,0.7354,0.5458,0.4888,0.5318,0.3421,0.651,0.356,0.7645,0.5304,0.4544,0.4086,0.4294,0.5997
C65C+C83C,2p,4,3,3,4,3,4,4,3,3,3,3,3,3,2,2,0.9709,0.7105,0.7922,0.3006,0.5748,0.6121,0.3948,0.6344,0.7992,0.6052,0.6634,0.3919,0.5485,0.777,0.3878
C67C+C78C,2p,2,2,3,3,3,3,3,2,1,3,3,4,3,3,3,0.5803,0.5942,0.7922,0.4432,0.7728,0.5318,0.2937,0.4834,0.3878,0.6205,0.4377,0.5443,0.4502,0.8269,0.6869
C68C+C81C,2p,2,3,3,3,3,4,3,3,4,3,3,4,4,2,3,0.3019,0.7147,0.5844,0.4557,0.4168,0.4778,0.4059,0.7216,0.561,0.4515,0.5997,0.5125,0.7535,0.6523,0.5789
C70C+C92C,2p,2,4,3,4,3,4,3,3,4,3,2,2,3,2,4,0.5291,0.831,0.6856,0.4972,0.7728,0.5318,0.4155,0.6621,0.9419,0.5166,0.4321,0.2757,0.6579,0.777,0.7797
C74C+C97C,2p,2,4,2,3,1,2,4,2,2,4,3,4,3,2,4,0.669,0.6399,0.3407,0.3713,0.3615,0.2922,0.4973,0.4834,0.7438,0.6634,0.3449,0.518,0.6995,0.3795,0.6814
C75C+C90C,2p,2,3,4,4,2,4,2,3,2,3,3,2,3,2,3,0.3144,0.6413,0.5526,0.59,0.6163,0.734,0.1759,0.59,0.7438,0.6288,0.572,0.2867,0.6995,0.777,0.5083
C77C+C98C,2p,2,3,3,3,4,4,3,3,2,4,3,3,3,2,3,0.5291,0.4668,0.5844,0.4225,0.8434,0.6454,0.3795,0.5997,0.7438,0.6177,0.5097,0.302,0.5485,0.5665,0.4958
